"filter_key","wh_name","dc_blinkit_internal_city","place_of_supply","item_id","frontend_inv_qty","backend_inv_qty","drr_7_be","drr_7_fe_be","doi_be","doi_fe_be","po_number","po_state","units_ordered","remaining_quantity","total_amount"
dehradun-10216709,DEHRADUN - FEEDER WAREHOUSE,dehradun,dehradun,"10216709",169,89,16.592984932837282,14.22680011156443,5.363712458020151,15.54873948504718,"2173110040606",Scheduled,72,72,1872.0
kundli-10315547,KUNDLI - FEEDER WAREHOUSE,kundli,kundli,"10315547",43,2,24.695544707409017,20.73096555035837,0.08098626791576585,1.8221910281047315,"2011710095829",Scheduled,192,192,6240.0
dasna-10325396,DASNA D3 - FEEDER WAREHOUSE,dasna,dasna,"10325396",61,0,28.74503968253968,22.448042606593006,0.0,2.122105263157895,"2576310067807",Scheduled,288,288,24120.0
kundli-10315546,KUNDLI - FEEDER WAREHOUSE,kundli,kundli,"10315546",85,40,39.24172502200283,35.004333506673596,1.0193231815770587,3.1853849424283083,"2011710095241",Scheduled,48,48,1560.0
guwahati-10176797,GUWAHATI G2 - FEEDER WAREHOUSE,guwahati,guwahati,"10176797",466,120,34.7329806642298,37.23476765940234,3.454929513826135,16.871572459184293,"","",0,0,0.0
"",HYDERABAD H4 - FEEDER WAREHOUSE,hyderabad,hyderabad,"10176794",0,0,0.0,0.0,0.0,0.0,"52029210000299",Scheduled,180,180,6804.0
dasna-10176795,DASNA D3 - FEEDER WAREHOUSE,dasna,dasna,"10176795",373,371,122.21917460317462,123.28259124851701,3.035530236598107,6.08742451759836,"2576310065808",Scheduled,180,180,6804.0
bengaluru-10216715,BENGALURU B5 - FEEDER WAREHOUSE,bengaluru,bengaluru,"10216715",496,4920,281.64183118513057,330.31244930404597,17.468995920446048,19.23009794819833,"49990010078666",Scheduled,936,936,24336.0
gurgaon-10315341,CPC - GURGAON (HP),gurgaon,gurgaon,"10315341",36,7,1.6938188172112085,2.2925367424363183,4.132673417529488,25.386422421966852,"","",0,0,0.0
farukhnagar-10176797,FARUKHNAGAR - SR FEEDER WAREHOUSE,farukhnagar,farukhnagar,"10176797",124,360,105.79502797648561,99.86453011492108,3.4028064161958054,4.574884181774361,"1735210076510",Scheduled,900,900,34020.0
ranchi-10265740,RANCHI R2 - FEEDER WAREHOUSE,ranchi,ranchi,"10265740",256,157,19.210301838441303,17.890291001466363,8.172698238703925,21.49888135404281,"","",0,0,0.0
