"filter_key","dc_blinkit_warehouse_id","wh_name","dc_blinkit_internal_city","place_of_supply","variant_id","item_id","frontend_inv_qty","backend_inv_qty","drr_7_be","drr_7_fe_be","doi_be","doi_fe_be"
chennai-10176793,2700047371,CHENNAI C5 - FEEDER WAREHOUSE,chennai,chennai,"581438","10176793",245,90,8.557536466774716,12.540845070422534,10.517045454545455,39.146780303030305
chennai-10258761,2700047371,CHENNAI C5 - FEEDER WAREHOUSE,chennai,chennai,"708957","10258761",118,14,2.200892857142857,1.9521316379955123,6.36105476673428,59.97565922920892
chennai-10258761,2700047371,CHENNAI C5 - FEEDER WAREHOUSE,chennai,chennai,"708957","10258761",118,14,2.200892857142857,1.9521316379955123,6.36105476673428,59.97565922920892
chennai-10176795,2700047371,CHENNAI C5 - FEEDER WAREHOUSE,chennai,chennai,"581440","10176795",424,219,40.179841897233196,39.1940456851109,5.450494319020216,16.00304953027397
chennai-10176795,2700047371,CHENNAI C5 - FEEDER WAREHOUSE,chennai,chennai,"581440","10176795",424,219,40.179841897233196,39.1940456851109,5.450494319020216,16.00304953027397
chennai-10249576,2700047371,CHENNAI C5 - FEEDER WAREHOUSE,chennai,chennai,"696715","10249576",0,19,0.0,0.0,0.0,0.0
chennai-10249576,2700047371,CHENNAI C5 - FEEDER WAREHOUSE,chennai,chennai,"696715","10249576",0,19,0.0,0.0,0.0,0.0
chennai-10258187,2700047371,CHENNAI C5 - FEEDER WAREHOUSE,chennai,chennai,"708073","10258187",99,6,0.39751552795031053,1.0389610389610389,15.093750000000002,264.140625
chennai-10258187,2700047371,CHENNAI C5 - FEEDER WAREHOUSE,chennai,chennai,"708073","10258187",99,6,0.39751552795031053,1.0389610389610389,15.093750000000002,264.140625
chennai-10265737,2700047371,CHENNAI C5 - FEEDER WAREHOUSE,chennai,chennai,"719409","10265737",113,44,4.775510204081633,2.1382881510813276,9.213675213675213,32.876068376068375
chennai-10265737,2700047371,CHENNAI C5 - FEEDER WAREHOUSE,chennai,chennai,"719409","10265737",113,44,4.775510204081633,2.1382881510813276,9.213675213675213,32.876068376068375
chennai-10249578,2700047371,CHENNAI C5 - FEEDER WAREHOUSE,chennai,chennai,"696717","10249578",81,40,0.6122448979591837,0.5714285714285714,65.33333333333333,197.63333333333333
chennai-10249578,2700047371,CHENNAI C5 - FEEDER WAREHOUSE,chennai,chennai,"696717","10249578",81,40,0.6122448979591837,0.5714285714285714,65.33333333333333,197.63333333333333
chennai-10176794,2700047371,CHENNAI C5 - FEEDER WAREHOUSE,chennai,chennai,"581439","10176794",214,52,3.3689248895434463,9.428571428571429,15.435191256830601,78.95693989071039
chennai-10176794,2700047371,CHENNAI C5 - FEEDER WAREHOUSE,chennai,chennai,"581439","10176794",214,52,3.3689248895434463,9.428571428571429,15.435191256830601,78.95693989071039
chennai-10216715,2700047371,CHENNAI C5 - FEEDER WAREHOUSE,chennai,chennai,"649989","10216715",668,498,68.03053883423871,74.76467420570813,7.320241887447235,17.1393615276375
chennai-10216715,2700047371,CHENNAI C5 - FEEDER WAREHOUSE,chennai,chennai,"649989","10216715",668,498,68.03053883423871,74.76467420570813,7.320241887447235,17.1393615276375
